cell_id,neuron_idx
LPE10885_2023_10_20_0_0133,128
LPE10885_2023_10_20_3_0007,939
LPE10885_2023_10_20_0_0102,99
LPE10885_2023_10_20_3_0106,1022
LPE10885_2023_10_20_1_0075,475
LPE10885_2023_10_20_0_0136,131
LPE10885_2023_10_20_0_0003,3
LPE10885_2023_10_20_1_0008,416
LPE10885_2023_10_20_0_0481,386
LPE10885_2023_10_20_0_0264,244
LPE10885_2023_10_20_1_0303,637
LPE10885_2023_10_20_2_0091,762
LPE10885_2023_10_20_0_0195,183
LPE10885_2023_10_20_0_0335,304
LPE10885_2023_10_20_0_0249,231
LPE10885_2023_10_20_0_0144,139
LPE10885_2023_10_20_2_0117,779
LPE10885_2023_10_20_0_0285,261
LPE10885_2023_10_20_2_0262,893
LPE10885_2023_10_20_0_0191,179
LPE10885_2023_10_20_0_0117,114
LPE10885_2023_10_20_0_0023,23
LPE10885_2023_10_20_0_0108,105
LPE10885_2023_10_20_0_0152,145
LPE10885_2023_10_20_0_0062,62
LPE10885_2023_10_20_0_0320,293
LPE10885_2023_10_20_3_0065,988
LPE10885_2023_10_20_1_0083,481
LPE10885_2023_10_20_3_0014,946
LPE10885_2023_10_20_1_0001,410
LPE10885_2023_10_20_0_0237,220
LPE10885_2023_10_20_0_0109,106
LPE10885_2023_10_20_0_0130,125
LPE10885_2023_10_20_3_0026,957
LPE10885_2023_10_20_3_0122,1035
LPE10885_2023_10_20_2_0173,827
LPE10885_2023_10_20_0_0292,268
LPE10885_2023_10_20_0_0011,11
LPE10885_2023_10_20_0_0530,400
LPE10885_2023_10_20_0_0180,170
LPE10885_2023_10_20_1_0038,442
LPE10885_2023_10_20_1_0166,542
LPE10885_2023_10_20_0_0300,276
LPE10885_2023_10_20_0_0052,52
LPE10885_2023_10_20_3_0291,1152
LPE10885_2023_10_20_2_0345,929
LPE10885_2023_10_20_0_0105,102
LPE10885_2023_10_20_2_0275,902
LPE10885_2023_10_20_0_0213,201
LPE10885_2023_10_20_2_0178,831
LPE10885_2023_10_20_0_0236,219
LPE10885_2023_10_20_1_0178,553
LPE10885_2023_10_20_0_0280,257
LPE10885_2023_10_20_1_0023,430
LPE10885_2023_10_20_0_0092,89
LPE10885_2023_10_20_0_0192,180
LPE10885_2023_10_20_1_0050,453
LPE10885_2023_10_20_1_0361,669
LPE10885_2023_10_20_2_0034,722
LPE10885_2023_10_20_0_0223,208
LPE10885_2023_10_20_0_0080,79
LPE10885_2023_10_20_1_0235,595
LPE10885_2023_10_20_1_0194,562
LPE10885_2023_10_20_3_0093,1011
LPE10885_2023_10_20_2_0044,728
LPE10885_2023_10_20_0_0097,94
LPE10885_2023_10_20_0_0398,348
LPE10885_2023_10_20_0_0159,151
LPE10885_2023_10_20_3_0029,959
LPE10885_2023_10_20_1_0080,478
LPE10885_2023_10_20_2_0079,751
LPE10885_2023_10_20_1_0042,446
LPE10885_2023_10_20_0_0517,398
LPE10885_2023_10_20_0_0330,301
LPE10885_2023_10_20_0_0115,112
LPE10885_2023_10_20_3_0037,966
