dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,jitter_1,jitter_2,jitter_3,jitter_4,jitter,single_trial_correlation,cell_id
Dataset 05,0,[-0.42 -0.64],"[[ 0.01 -0.  ]
 [ 0.01  0.02]]",[0.71 0.48],"[[0.02 0.02]
 [0.03 0.06]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.57],[0.32 0.28],"[[ 0.01 -0.01]
 [-0.01 -0.02]]","[[ 0.    0.03]
 [ 0.06 -0.05]]","[[ 0.05 -0.02]
 [ 0.    0.11]]","[[-0.01 -0.01]
 [-0.01  0.03]]","[[-0.01  0.  ]
 [-0.    0.02]]",[ 0.03 -0.  ],[-0.    0.05],[ 0.05 -0.03],[-0.05  0.05],[-0.01  0.01],[0.04 0.03],0.6335451,LPE10885_2023_10_20_0_0000
Dataset 05,1,[-0.49 -0.66],"[[ 0.08 -0.07]
 [ 0.01  0.06]]",[0.66 0.49],"[[0.1  0.05]
 [0.07 0.12]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.63 -0.6 ],[-0.08  0.27],"[[-0.01 -0.04]
 [ 0.05  0.04]]","[[ 0.02 -0.08]
 [-0.03  0.02]]","[[ 0.21 -0.14]
 [-0.1  -0.04]]","[[ 0.19 -0.11]
 [ 0.09  0.29]]","[[ 0.01  0.02]
 [ 0.02 -0.01]]",[-0.05 -0.05],[-0.05 -0.05],[ 0.   -0.05],[-0.03 -0.02],[-0.05  0.05],[0.02 0.04],0.1606229,LPE10885_2023_10_20_0_0001
Dataset 05,2,[-0.5  -0.66],"[[ 0.01  0.05]
 [-0.03  0.04]]",[0.65 0.49],"[[0.05 0.08]
 [0.02 0.03]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.63 -0.6 ],[-0.14  0.27],"[[ 0.01  0.03]
 [-0.05  0.  ]]","[[-0.05 -0.02]
 [ 0.01  0.03]]","[[ 0.02  0.01]
 [-0.06  0.09]]","[[ 0.1   0.2 ]
 [-0.01  0.02]]","[[-0.03  0.03]
 [-0.03  0.05]]",[-0.03 -0.01],[ 0.05 -0.05],[-0.01 -0.04],[ 0.05 -0.05],[0.05 0.05],[0.04 0.04],0.5456403,LPE10885_2023_10_20_0_0002
Dataset 05,3,[-0.44 -0.67],"[[-0.09  0.06]
 [-0.02  0.04]]",[0.7  0.48],"[[0.09 0.11]
 [0.03 0.06]]",[-1. -1.],[-0.98 -0.97],[-1. -1.],[ 0.65 -0.62],[0.12 0.25],"[[-0.01  0.03]
 [ 0.01  0.02]]","[[-0.11  0.01]
 [-0.05 -0.07]]","[[-0.14 -0.02]
 [ 0.02  0.1 ]]","[[-0.23  0.27]
 [-0.01  0.09]]","[[ 0.02 -0.01]
 [-0.05  0.04]]",[ 0.02 -0.05],[0.05 0.05],[0.05 0.05],[ 0.03 -0.05],[ 0.05 -0.02],[0.01 0.05],0.44768015,LPE10885_2023_10_20_0_0003
Dataset 05,4,[-0.42 -0.64],"[[ 0.01 -0.01]
 [ 0.02  0.01]]",[0.71 0.48],"[[0.03 0.14]
 [0.03 0.04]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.56],[0.32 0.28],"[[ 0.04  0.01]
 [ 0.01 -0.03]]","[[-0.01  0.2 ]
 [ 0.05 -0.  ]]","[[ 0.   -0.24]
 [ 0.02  0.06]]","[[ 0.04 -0.06]
 [ 0.03  0.05]]","[[-0.01  0.02]
 [-0.03 -0.01]]",[ 0.05 -0.05],[0.05 0.05],[ 0.05 -0.05],[-0.05  0.  ],[0.05 0.01],[0.04 0.04],0.44101635,LPE10885_2023_10_20_0_0004
Dataset 05,5,[-0.5  -0.66],"[[-0.06 -0.05]
 [-0.03 -0.06]]",[0.65 0.49],"[[0.07 0.06]
 [0.03 0.08]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.62 -0.6 ],[-0.13  0.27],"[[-0.08 -0.01]
 [ 0.   -0.04]]","[[ 0.01 -0.1 ]
 [-0.06 -0.15]]","[[-0.19  0.02]
 [-0.02  0.06]]","[[-0.02 -0.13]
 [-0.06 -0.14]]","[[-0.01 -0.04]
 [ 0.   -0.01]]",[-0.05 -0.05],[-0.05 -0.05],[0.05 0.04],[0.01 0.05],[-0.   -0.05],[0.04 0.05],0.33186188,LPE10885_2023_10_20_0_0005
Dataset 05,6,[-0.47 -0.66],"[[-0.23 -0.1 ]
 [ 0.06 -0.01]]",[0.67 0.48],"[[0.55 0.25]
 [0.05 0.1 ]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.58 -0.58],[0.07 0.26],"[[-1.33 -0.59]
 [ 0.05  0.1 ]]","[[ 0.05 -0.02]
 [ 0.11 -0.18]]","[[ 0.01 -0.03]
 [ 0.12 -0.03]]","[[ 0.12  0.14]
 [ 0.02 -0.02]]","[[-0.01  0.01]
 [ 0.    0.05]]",[-0.04 -0.02],[-0.05 -0.03],[0.05 0.05],[-0.05  0.05],[0.05 0.05],[0.05 0.04],0.50879085,LPE10885_2023_10_20_0_0006
Dataset 05,7,[-0.42 -0.64],"[[-0.05  0.07]
 [ 0.01  0.03]]",[0.71 0.48],"[[0.08 0.15]
 [0.04 0.07]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.57],[0.32 0.28],"[[ 0.   -0.05]
 [-0.02 -0.06]]","[[-0.12  0.  ]
 [-0.05  0.01]]","[[0.04 0.05]
 [0.05 0.13]]","[[-0.16  0.35]
 [ 0.04  0.09]]","[[ 0.02 -0.01]
 [ 0.01 -0.01]]",[ 0.05 -0.01],[-0.05  0.05],[-0.02 -0.05],[ 0.05 -0.05],[-0.05 -0.05],[0.05 0.04],0.5766188,LPE10885_2023_10_20_0_0007
Dataset 05,8,[-0.49 -0.66],"[[ 0.01 -0.06]
 [ 0.03 -0.  ]]",[0.65 0.49],"[[0.07 0.11]
 [0.05 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.6  -0.59],[-0.06  0.27],"[[ 0.   -0.04]
 [-0.01 -0.  ]]","[[-0.12 -0.19]
 [ 0.04  0.05]]","[[ 0.06 -0.15]
 [-0.01  0.  ]]","[[ 0.06  0.12]
 [ 0.11 -0.02]]","[[ 0.02 -0.01]
 [ 0.01 -0.03]]",[-0.05 -0.05],[ 0.05 -0.01],[-0.05 -0.05],[-0.02 -0.05],[0.05 0.03],[0.05 0.03],0.13314803,LPE10885_2023_10_20_0_0008
Dataset 05,9,[-0.45 -0.65],"[[-0.04 -0.  ]
 [ 0.    0.04]]",[0.68 0.48],"[[0.1  0.11]
 [0.06 0.1 ]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.6  -0.59],[0.11 0.25],"[[-0.04  0.01]
 [ 0.01 -0.01]]","[[-0.22  0.1 ]
 [ 0.07  0.17]]","[[-0.   -0.2 ]
 [-0.12  0.13]]","[[ 0.08  0.09]
 [ 0.03 -0.08]]","[[-0.03 -0.  ]
 [ 0.01 -0.03]]",[ 0.05 -0.05],[-0.05 -0.05],[-0.05  0.04],[-0.05  0.05],[ 0.05 -0.05],[0.05 0.05],0.50769967,LPE10885_2023_10_20_0_0009
Dataset 05,10,[-0.42 -0.64],"[[0.01 0.02]
 [0.   0.04]]",[0.71 0.48],"[[0.06 0.09]
 [0.05 0.07]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.57],[0.32 0.28],"[[-0.08  0.05]
 [ 0.03 -0.01]]","[[ 0.04 -0.15]
 [-0.08  0.08]]","[[-0.03  0.13]
 [ 0.03  0.15]]","[[ 0.08  0.05]
 [ 0.05 -0.02]]","[[ 0.01  0.01]
 [-0.   -0.01]]",[0.05 0.02],[0.02 0.05],[0.02 0.05],[-0.05  0.05],[-0.04  0.05],[0.04 0.01],0.18453622,LPE10885_2023_10_20_0_0010
Dataset 05,11,[-0.41 -0.65],"[[ 0.03  0.01]
 [-0.02  0.01]]",[0.72 0.48],"[[0.04 0.06]
 [0.05 0.04]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.97],[ 0.6  -0.59],[0.31 0.28],"[[ 0.01 -0.04]
 [ 0.01  0.02]]","[[ 0.08  0.06]
 [-0.09  0.01]]","[[ 0.06  0.09]
 [-0.03  0.05]]","[[-0.04 -0.07]
 [-0.04  0.03]]","[[ 0.01  0.  ]
 [ 0.04 -0.05]]",[-0.05 -0.05],[ 0.03 -0.05],[ 0.   -0.04],[-0.05  0.05],[-0.05 -0.04],[0.04 0.04],0.44459042,LPE10885_2023_10_20_0_0011
Dataset 05,12,[-0.48 -0.66],"[[-0.01 -0.05]
 [ 0.03  0.02]]",[0.67 0.49],"[[0.11 0.06]
 [0.06 0.09]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.62 -0.6 ],[-0.02  0.26],"[[ 0.01 -0.02]
 [ 0.03 -0.03]]","[[ 0.2  -0.17]
 [-0.07  0.18]]","[[-0.11 -0.04]
 [ 0.13  0.  ]]","[[-0.11 -0.05]
 [ 0.02 -0.07]]","[[-0.03  0.03]
 [ 0.01 -0.  ]]",[-0.05 -0.05],[-0.05  0.05],[ 0.02 -0.01],[-0.05 -0.05],[0.05 0.02],[0.04 0.04],0.46137223,LPE10885_2023_10_20_0_0012
Dataset 05,13,[-0.42 -0.66],"[[ 0.04 -0.04]
 [-0.02 -0.03]]",[0.71 0.48],"[[0.06 0.07]
 [0.05 0.05]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.64 -0.61],[0.24 0.26],"[[ 0.05  0.04]
 [ 0.06 -0.03]]","[[ 0.14 -0.16]
 [-0.09  0.07]]","[[ 0.05 -0.04]
 [-0.01 -0.1 ]]","[[-0.02 -0.07]
 [ 0.   -0.02]]","[[-0.03  0.04]
 [-0.04 -0.05]]",[-0.05  0.05],[0.   0.05],[-0.02  0.05],[0.05 0.05],[0.05 0.05],[0.04 0.  ],0.31704983,LPE10885_2023_10_20_0_0013
Dataset 05,14,[-0.42 -0.64],"[[ 0.02  0.  ]
 [-0.01 -0.01]]",[0.71 0.48],"[[0.04 0.06]
 [0.03 0.02]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.57],[0.32 0.28],"[[ 0.02 -0.  ]
 [-0.01 -0.01]]","[[-0.04  0.11]
 [-0.05  0.01]]","[[ 0.07 -0.09]
 [-0.03  0.01]]","[[ 0.05 -0.01]
 [ 0.03 -0.04]]","[[-0.   -0.  ]
 [ 0.02 -0.01]]",[ 0.05 -0.02],[-0.    0.04],[0.03 0.05],[-0.05  0.05],[-0.05 -0.01],[0.04 0.03],0.62580806,LPE10885_2023_10_20_0_0014
Dataset 05,15,[-0.41 -0.66],"[[0.01 0.  ]
 [0.05 0.03]]",[0.72 0.49],"[[0.03 0.09]
 [0.05 0.07]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.63 -0.61],[0.3  0.27],"[[0.02 0.01]
 [0.   0.01]]","[[-0.02  0.04]
 [ 0.02  0.1 ]]","[[ 0.06 -0.16]
 [ 0.03  0.12]]","[[ 0.01  0.12]
 [ 0.15 -0.06]]","[[-0.01  0.01]
 [ 0.03 -0.01]]",[ 0.04 -0.05],[0.05 0.  ],[ 0.01 -0.05],[-0.05 -0.05],[-0.05 -0.05],[0.05 0.02],0.37365773,LPE10885_2023_10_20_0_0015
Dataset 05,16,[-0.41 -0.66],"[[-0.04 -0.05]
 [-0.    0.01]]",[0.72 0.49],"[[0.06 0.06]
 [0.02 0.03]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.64 -0.62],[0.3  0.27],"[[ 0.03 -0.02]
 [-0.02 -0.02]]","[[-0.04 -0.06]
 [-0.    0.07]]","[[-0.05 -0.06]
 [ 0.02  0.  ]]","[[-0.14 -0.15]
 [-0.03  0.01]]","[[ 0.01  0.02]
 [ 0.02 -0.  ]]",[ 0.05 -0.05],[-0.05 -0.05],[-0.05 -0.05],[-0.05  0.05],[-0.04  0.03],[0.04 0.05],0.35891253,LPE10885_2023_10_20_0_0016
Dataset 05,17,[-0.44 -0.65],"[[ 0.02 -0.06]
 [-0.02 -0.  ]]",[0.69 0.48],"[[0.03 0.09]
 [0.01 0.07]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.59 -0.58],[0.2  0.25],"[[ 0.04  0.02]
 [-0.03  0.02]]","[[-0.   -0.17]
 [-0.04  0.06]]","[[ 0.06 -0.16]
 [-0.01 -0.11]]","[[-0.02  0.02]
 [-0.02  0.08]]","[[ 0.01 -0.01]
 [-0.01 -0.07]]",[-0.04 -0.05],[ 0.03 -0.05],[-0.05 -0.05],[0.05 0.05],[0.05 0.05],[0.05 0.05],0.38420197,LPE10885_2023_10_20_0_0017
Dataset 05,18,[-0.48 -0.66],"[[-0.05  0.01]
 [ 0.04 -0.01]]",[0.66 0.49],"[[0.09 0.12]
 [0.04 0.06]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.62 -0.6 ],[-0.04  0.26],"[[-0.   -0.01]
 [ 0.02 -0.03]]","[[-0.11 -0.08]
 [ 0.1  -0.11]]","[[-0.2  -0.11]
 [-0.02  0.02]]","[[0.03 0.22]
 [0.04 0.04]]","[[0.02 0.05]
 [0.06 0.03]]",[0.05 0.01],[0.05 0.04],[0.03 0.05],[ 0.05 -0.05],[-0.05  0.05],[0.04 0.04],0.1643274,LPE10885_2023_10_20_0_0018
Dataset 05,19,[-0.42 -0.64],"[[ 0.04 -0.03]
 [-0.01 -0.03]]",[0.71 0.48],"[[0.1  0.06]
 [0.04 0.09]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.57 -0.57],[0.32 0.28],"[[ 0.01 -0.01]
 [-0.02  0.03]]","[[ 0.22  0.06]
 [ 0.02 -0.2 ]]","[[-0.09 -0.04]
 [-0.07  0.03]]","[[ 0.06 -0.14]
 [-0.01 -0.03]]","[[-0.01 -0.02]
 [ 0.03 -0.  ]]",[0.05 0.05],[ 0.04 -0.05],[ 0.05 -0.05],[-0.05  0.05],[ 0.   -0.05],[0.04 0.05],0.58978444,LPE10885_2023_10_20_0_0019
Dataset 05,20,[-0.48 -0.64],"[[ 0.04 -0.16]
 [-0.   -0.02]]",[0.65 0.51],"[[0.09 0.19]
 [0.08 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.06 0.31],"[[ 0.04 -0.01]
 [ 0.01 -0.02]]","[[ 0.13 -0.02]
 [ 0.01 -0.01]]","[[ 0.13 -0.32]
 [-0.14 -0.01]]","[[-0.1  -0.45]
 [ 0.11 -0.09]]","[[ 0.01  0.  ]
 [-0.01  0.  ]]",[-0.   -0.05],[0.05 0.05],[ 0.05 -0.03],[0.05 0.02],[ 0.05 -0.03],[0.02 0.04],0.45719197,LPE10885_2023_10_20_0_0020
Dataset 05,21,[-0.45 -0.65],"[[-0.02 -0.03]
 [-0.02  0.04]]",[0.68 0.49],"[[0.04 0.05]
 [0.06 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.57 -0.57],[0.15 0.27],"[[-0.03 -0.02]
 [-0.04  0.07]]","[[ 0.04 -0.12]
 [ 0.07 -0.01]]","[[-0.05  0.  ]
 [-0.05  0.1 ]]","[[-0.07 -0.03]
 [-0.1   0.04]]","[[0.01 0.01]
 [0.02 0.02]]",[-0.05 -0.05],[-0.05 -0.05],[ 0.03 -0.04],[-0.05  0.04],[ 0.05 -0.05],[0.05 0.04],0.19757138,LPE10885_2023_10_20_0_0021
Dataset 05,22,[-0.43 -0.67],"[[-0.    0.06]
 [ 0.   -0.03]]",[0.71 0.48],"[[0.09 0.08]
 [0.04 0.06]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.66 -0.62],[0.17 0.25],"[[ 0.03  0.  ]
 [-0.03 -0.02]]","[[-0.01  0.  ]
 [ 0.02  0.05]]","[[ 0.11  0.19]
 [ 0.07 -0.13]]","[[-0.16  0.1 ]
 [-0.02 -0.06]]","[[ 0.03  0.  ]
 [-0.03  0.01]]",[-0.05  0.05],[0.05 0.05],[-0.05 -0.01],[ 0.05 -0.05],[-0.05 -0.05],[0.05 0.05],0.18612021,LPE10885_2023_10_20_0_0022
