cell_id,neuron_idx
LPE10885_2023_10_20_6_0338,1912
LPE10885_2023_10_20_4_0039,39
LPE10885_2023_10_20_6_0439,2012
LPE10885_2023_10_20_4_0067,67
LPE10885_2023_10_20_5_0276,1075
LPE10885_2023_10_20_4_0063,63
LPE10885_2023_10_20_4_0111,111
LPE10885_2023_10_20_4_0594,592
LPE10885_2023_10_20_4_0376,376
LPE10885_2023_10_20_4_0502,502
LPE10885_2023_10_20_4_0068,68
LPE10885_2023_10_20_7_0301,2574
LPE10885_2023_10_20_4_0021,21
LPE10885_2023_10_20_4_0630,624
LPE10885_2023_10_20_4_0019,19
LPE10885_2023_10_20_4_0727,704
LPE10885_2023_10_20_4_0377,377
LPE10885_2023_10_20_6_0316,1891
LPE10885_2023_10_20_4_0620,615
LPE10885_2023_10_20_4_0250,250
LPE10885_2023_10_20_4_0706,690
LPE10885_2023_10_20_7_0149,2429
LPE10885_2023_10_20_7_0202,2481
LPE10885_2023_10_20_4_0139,139
LPE10885_2023_10_20_5_0103,902
LPE10885_2023_10_20_4_0551,551
LPE10885_2023_10_20_4_0147,147
LPE10885_2023_10_20_5_0484,1280
LPE10885_2023_10_20_4_0272,272
LPE10885_2023_10_20_4_0725,702
LPE10885_2023_10_20_6_0456,2027
LPE10885_2023_10_20_5_0004,803
LPE10885_2023_10_20_5_0787,1514
LPE10885_2023_10_20_4_0291,291
LPE10885_2023_10_20_7_0407,2667
LPE10885_2023_10_20_5_0259,1058
LPE10885_2023_10_20_6_0024,1601
LPE10885_2023_10_20_5_0037,836
LPE10885_2023_10_20_4_0035,35
LPE10885_2023_10_20_4_0133,133
LPE10885_2023_10_20_4_0098,98
LPE10885_2023_10_20_5_0368,1167
LPE10885_2023_10_20_6_0329,1903
LPE10885_2023_10_20_7_0203,2482
LPE10885_2023_10_20_4_0410,410
LPE10885_2023_10_20_4_0697,684
LPE10885_2023_10_20_4_0034,34
LPE10885_2023_10_20_4_0228,228
LPE10885_2023_10_20_7_0192,2471
LPE10885_2023_10_20_4_0575,574
LPE10885_2023_10_20_5_0412,1211
LPE10885_2023_10_20_4_0047,47
LPE10885_2023_10_20_6_0349,1922
LPE10885_2023_10_20_4_0815,751
LPE10885_2023_10_20_6_0706,2223
LPE10885_2023_10_20_5_0658,1441
LPE10885_2023_10_20_4_0792,740
LPE10885_2023_10_20_6_0162,1738
LPE10885_2023_10_20_4_0046,46
LPE10885_2023_10_20_6_0134,1710
LPE10885_2023_10_20_4_0829,757
LPE10885_2023_10_20_4_0318,318
LPE10885_2023_10_20_5_0583,1372
LPE10885_2023_10_20_6_0908,2280
LPE10885_2023_10_20_6_0385,1958
LPE10885_2023_10_20_6_0634,2182
LPE10885_2023_10_20_5_0295,1094
LPE10885_2023_10_20_5_0693,1463
LPE10885_2023_10_20_4_0137,137
LPE10885_2023_10_20_5_0351,1150
LPE10885_2023_10_20_4_0000,0
LPE10885_2023_10_20_6_0063,1640
LPE10885_2023_10_20_4_0357,357
LPE10885_2023_10_20_4_0600,596
LPE10885_2023_10_20_4_0040,40
LPE10885_2023_10_20_4_0154,154
LPE10885_2023_10_20_5_0345,1144
LPE10885_2023_10_20_5_0036,835
LPE10885_2023_10_20_6_0526,2092
LPE10885_2023_10_20_5_0150,949
LPE10885_2023_10_20_4_0055,55
LPE10885_2023_10_20_5_0697,1467
LPE10885_2023_10_20_7_0365,2630
LPE10885_2023_10_20_4_0204,204
LPE10885_2023_10_20_4_0107,107
LPE10885_2023_10_20_6_0434,2007
LPE10885_2023_10_20_5_0079,878
LPE10885_2023_10_20_5_0389,1188
LPE10885_2023_10_20_6_0279,1855
LPE10885_2023_10_20_7_0265,2543
LPE10885_2023_10_20_6_0241,1817
LPE10885_2023_10_20_6_0554,2116
LPE10885_2023_10_20_4_0022,22
LPE10885_2023_10_20_6_0782,2254
LPE10885_2023_10_20_4_0061,61
LPE10885_2023_10_20_4_0176,176
LPE10885_2023_10_20_4_0560,560
LPE10885_2023_10_20_6_0251,1827
LPE10885_2023_10_20_7_0091,2372
LPE10885_2023_10_20_6_0446,2019
LPE10885_2023_10_20_6_0315,1890
LPE10885_2023_10_20_4_0005,5
LPE10885_2023_10_20_5_0221,1020
LPE10885_2023_10_20_5_0305,1104
LPE10885_2023_10_20_6_0392,1965
LPE10885_2023_10_20_5_0237,1036
LPE10885_2023_10_20_5_0518,1313
LPE10885_2023_10_20_7_0185,2465
LPE10885_2023_10_20_6_0294,1869
LPE10885_2023_10_20_5_0071,870
LPE10885_2023_10_20_6_0351,1924
LPE10885_2023_10_20_4_0023,23
LPE10885_2023_10_20_7_0007,2289
LPE10885_2023_10_20_6_0373,1946
LPE10885_2023_10_20_7_0274,2551
LPE10885_2023_10_20_4_0165,165
