dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.08 -0.25],"[[ 0.01 -0.04]
 [-0.06 -0.02]]",[0.71 0.7 ],"[[0.02 0.11]
 [0.09 0.05]]",[ 0.58 -1.  ],[-0.97  0.81],[-0.37 -0.27],[ 0.9  -0.99],[-0.56  0.18],"[[ 0.    0.01]
 [-0.01 -0.01]]","[[-0.    0.06]
 [-0.08  0.04]]","[[ 0.01  0.01]
 [-0.    0.  ]]","[[ 0.06 -0.26]
 [-0.22 -0.12]]","[[ 0.    0.01]
 [-0.    0.  ]]",,
,,[-0.13 -0.25],"[[-0.05 -0.  ]
 [-0.02 -0.01]]",[0.72 0.7 ],"[[0.09 0.  ]
 [0.03 0.04]]",[ 0.52 -1.  ],[-0.98  0.85],[-0.44 -0.29],[ 0.91 -0.99],[-0.65  0.16],"[[ 0.    0.  ]
 [ 0.01 -0.01]]","[[-0.01 -0.01]
 [-0.07  0.05]]","[[-0.01 -0.  ]
 [-0.   -0.02]]","[[-0.24 -0.  ]
 [-0.02 -0.09]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]",,
,,[ 0.13 -0.18],"[[ 0.02 -0.04]
 [ 0.02  0.  ]]",[0.74 0.74],"[[0.08 0.05]
 [0.03 0.02]]",[ 1. -1.],[-0.99  0.89],[-0.03 -0.1 ],[ 0.89 -0.99],[-0.22  0.31],"[[-0.   -0.01]
 [ 0.   -0.  ]]","[[-0.08 -0.04]
 [ 0.06 -0.03]]","[[-0.  0.]
 [ 0. -0.]]","[[ 0.17 -0.13]
 [ 0.05  0.04]]","[[ 0.  0.]
 [ 0. -0.]]",,
,,[-0.14 -0.26],"[[ 0.01  0.02]
 [-0.01 -0.02]]",[0.73 0.7 ],"[[0.04 0.02]
 [0.09 0.04]]",[ 0.5 -1. ],[-0.98  0.85],[-0.46 -0.3 ],[ 0.93 -0.99],[-0.68  0.15],"[[-0.    0.  ]
 [-0.    0.01]]","[[-0.05  0.05]
 [-0.15 -0.08]]","[[-0.    0.01]
 [-0.    0.01]]","[[ 0.08  0.03]
 [ 0.11 -0.05]]","[[-0.    0.  ]
 [-0.    0.01]]",,
,,[ 0.15 -0.2 ],"[[-0.04  0.02]
 [ 0.05 -0.01]]",[0.72 0.72],"[[0.05 0.04]
 [0.07 0.02]]",[ 1. -1.],[-0.97  0.83],[ 0.04 -0.16],[ 0.86 -0.98],[-0.19  0.3 ],"[[-0.01 -0.  ]
 [ 0.    0.  ]]","[[-0.04  0.1 ]
 [ 0.18 -0.02]]","[[0.   0.01]
 [0.   0.01]]","[[-0.14 -0.03]
 [ 0.08 -0.05]]","[[ 0.   -0.  ]
 [ 0.01 -0.  ]]",,
,,[ 0.07 -0.22],"[[ 0.05 -0.02]
 [ 0.05  0.  ]]",[0.73 0.71],"[[0.09 0.03]
 [0.12 0.01]]",[ 0.93 -1.  ],[-0.97  0.84],[-0.14 -0.22],[ 0.87 -0.98],[-0.33  0.23],"[[-0.01 -0.01]
 [-0.01 -0.01]]","[[ 0.04 -0.09]
 [-0.02  0.03]]","[[0.   0.01]
 [0.01 0.01]]","[[ 0.23 -0.04]
 [ 0.29 -0.01]]","[[ 0. -0.]
 [ 0. -0.]]",,
,,[ 0.17 -0.2 ],"[[-0.04 -0.02]
 [-0.   -0.01]]",[0.71 0.73],"[[0.07 0.1 ]
 [0.04 0.04]]",[ 1. -1.],[-0.98  0.88],[ 0.1  -0.16],[ 0.83 -0.98],[-0.09  0.28],"[[-0. -0.]
 [-0. -0.]]","[[-0.02  0.1 ]
 [ 0.06  0.06]]","[[-0.01  0.  ]
 [-0.   -0.  ]]","[[-0.18 -0.2 ]
 [-0.06 -0.08]]","[[-0.    0.  ]
 [-0.   -0.01]]",,
,,[-0.06 -0.21],"[[-0.01  0.  ]
 [ 0.01  0.02]]",[0.71 0.73],"[[0.01 0.02]
 [0.04 0.03]]",[ 0.64 -1.  ],[-0.99  0.92],[-0.33 -0.21],[ 0.9  -0.99],[-0.5  0.2],"[[ 0.    0.  ]
 [-0.   -0.01]]","[[-0.01  0.05]
 [-0.03  0.01]]","[[ 0.   -0.  ]
 [-0.01 -0.  ]]","[[-0.02 -0.02]
 [ 0.09  0.08]]","[[ 0. -0.]
 [ 0. -0.]]",,
,,[-0.16 -0.25],"[[ 0.04 -0.02]
 [ 0.02  0.01]]",[0.72 0.72],"[[0.05 0.04]
 [0.08 0.02]]",[ 0.45 -1.  ],[-0.99  0.91],[-0.48 -0.3 ],[ 0.91 -0.99],[-0.71  0.14],"[[-0.   -0.01]
 [ 0.   -0.01]]","[[ 0.06 -0.1 ]
 [-0.06  0.03]]","[[-0. -0.]
 [ 0.  0.]]","[[ 0.13 -0.02]
 [ 0.16  0.03]]","[[ 0.    0.01]
 [-0.   -0.01]]",,
,,[-0.08 -0.24],"[[-0.02 -0.05]
 [-0.08 -0.07]]",[0.71 0.72],"[[0.08 0.07]
 [0.08 0.1 ]]",[ 0.6 -1. ],[-0.98  0.89],[-0.36 -0.27],[ 0.89 -0.99],[-0.54  0.19],"[[ 0.    0.01]
 [-0.04  0.02]]","[[ 0.08 -0.08]
 [-0.2  -0.07]]","[[-0.    0.  ]
 [-0.01 -0.01]]","[[-0.17 -0.17]
 [-0.13 -0.27]]","[[-0.01 -0.01]
 [ 0.   -0.  ]]",,
