cell_id,neuron_idx
LPE10885_2023_10_20_5_0276,1075
LPE10885_2023_10_20_4_0376,376
LPE10885_2023_10_20_6_0338,1912
LPE10885_2023_10_20_6_0439,2012
LPE10885_2023_10_20_4_0111,111
LPE10885_2023_10_20_6_0908,2280
LPE10885_2023_10_20_4_0067,67
LPE10885_2023_10_20_5_0301,1100
LPE10885_2023_10_20_5_0183,982
LPE10885_2023_10_20_5_0518,1313
LPE10885_2023_10_20_4_0021,21
LPE10885_2023_10_20_7_0203,2482
LPE10885_2023_10_20_4_0620,615
LPE10885_2023_10_20_4_0272,272
LPE10885_2023_10_20_5_0413,1212
LPE10885_2023_10_20_4_0588,586
LPE10885_2023_10_20_4_0410,410
LPE10885_2023_10_20_4_0502,502
LPE10885_2023_10_20_4_0342,342
LPE10885_2023_10_20_6_0385,1958
LPE10885_2023_10_20_4_0063,63
LPE10885_2023_10_20_4_0039,39
LPE10885_2023_10_20_4_0009,9
LPE10885_2023_10_20_4_0204,204
LPE10885_2023_10_20_5_0361,1160
LPE10885_2023_10_20_4_0250,250
LPE10885_2023_10_20_5_0358,1157
LPE10885_2023_10_20_6_0162,1738
LPE10885_2023_10_20_7_0099,2380
LPE10885_2023_10_20_4_0985,788
LPE10885_2023_10_20_4_0027,27
LPE10885_2023_10_20_4_0727,704
LPE10885_2023_10_20_5_0015,814
LPE10885_2023_10_20_5_0004,803
LPE10885_2023_10_20_6_0349,1922
LPE10885_2023_10_20_4_0630,624
LPE10885_2023_10_20_4_0068,68
LPE10885_2023_10_20_4_0257,257
LPE10885_2023_10_20_7_0265,2543
LPE10885_2023_10_20_4_0127,127
LPE10885_2023_10_20_6_0100,1677
LPE10885_2023_10_20_4_0233,233
LPE10885_2023_10_20_4_0139,139
LPE10885_2023_10_20_4_0611,607
LPE10885_2023_10_20_5_0723,1485
LPE10885_2023_10_20_4_0047,47
LPE10885_2023_10_20_4_0337,337
LPE10885_2023_10_20_4_0098,98
LPE10885_2023_10_20_6_0359,1932
LPE10885_2023_10_20_5_0037,836
LPE10885_2023_10_20_4_0400,400
LPE10885_2023_10_20_4_0220,220
LPE10885_2023_10_20_6_0027,1604
LPE10885_2023_10_20_4_0040,40
LPE10885_2023_10_20_4_0157,157
LPE10885_2023_10_20_6_0315,1890
LPE10885_2023_10_20_4_0268,268
LPE10885_2023_10_20_5_0029,828
LPE10885_2023_10_20_7_0149,2429
LPE10885_2023_10_20_6_0113,1689
LPE10885_2023_10_20_4_0357,357
LPE10885_2023_10_20_6_0223,1799
LPE10885_2023_10_20_4_0195,195
LPE10885_2023_10_20_4_0128,128
LPE10885_2023_10_20_7_0423,2682
LPE10885_2023_10_20_4_0774,728
LPE10885_2023_10_20_5_0351,1150
LPE10885_2023_10_20_6_0137,1713
LPE10885_2023_10_20_5_0171,970
LPE10885_2023_10_20_5_0253,1052
LPE10885_2023_10_20_5_0059,858
LPE10885_2023_10_20_6_0413,1986
LPE10885_2023_10_20_4_0575,574
LPE10885_2023_10_20_7_0177,2457
LPE10885_2023_10_20_6_0410,1983
LPE10885_2023_10_20_7_0098,2379
LPE10885_2023_10_20_5_0665,1445
LPE10885_2023_10_20_4_0374,374
LPE10885_2023_10_20_7_0013,2295
LPE10885_2023_10_20_6_0019,1596
LPE10885_2023_10_20_4_0388,388
LPE10885_2023_10_20_4_0464,464
LPE10885_2023_10_20_4_0102,102
LPE10885_2023_10_20_4_0405,405
LPE10885_2023_10_20_5_0318,1117
LPE10885_2023_10_20_6_0518,2085
LPE10885_2023_10_20_5_0087,886
LPE10885_2023_10_20_5_0116,915
LPE10885_2023_10_20_5_0075,874
LPE10885_2023_10_20_7_0301,2574
LPE10885_2023_10_20_6_0172,1748
LPE10885_2023_10_20_4_0147,147
LPE10885_2023_10_20_4_0552,552
LPE10885_2023_10_20_4_0256,256
LPE10885_2023_10_20_6_0347,1920
LPE10885_2023_10_20_4_0497,497
LPE10885_2023_10_20_5_0651,1435
LPE10885_2023_10_20_4_0291,291
LPE10885_2023_10_20_4_0125,125
LPE10885_2023_10_20_5_0251,1050
LPE10885_2023_10_20_4_0160,160
