dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,0,[-0.18  0.57],"[[ 0.    0.03]
 [-0.03  0.02]]",[0.74 0.35],"[[0.02 0.06]
 [0.03 0.04]]",[-0.9  0.8],[-0.49  0.54],[1. 1.],[0.35 0.57],[-0.86 -0.04],"[[-0.03  0.06]
 [-0.04  0.  ]]","[[ 0.03  0.13]
 [-0.07  0.1 ]]","[[ 0.01 -0.02]
 [ 0.02 -0.02]]","[[-0.01 -0.03]
 [-0.05  0.  ]]","[[ 0.02  0.01]
 [ 0.   -0.01]]",[ 0.01 -0.04],[-0.89  0.75],[-0.02 -0.02],[-0.51  0.51],[-0.05 -0.05],[0.95 0.95],[-0.05 -0.05],[0.3  0.52],[-0.02 -0.03],[-0.88 -0.07],[-0.03 -0.04],[-0.21  0.53],[0.02 0.01],[0.72 0.34],0.555741,LPE10885_2023_10_20_4_0000
Dataset 05,1,[-0.19  0.56],"[[ 0.    0.02]
 [-0.01  0.03]]",[0.76 0.35],"[[0.04 0.05]
 [0.04 0.02]]",[-0.87  0.77],[-0.49  0.54],[1. 1.],[0.35 0.57],[-0.96 -0.05],"[[0.04 0.03]
 [0.02 0.05]]","[[-0.07  0.11]
 [-0.1   0.07]]","[[-0.01 -0.01]
 [-0.    0.02]]","[[ 0.05 -0.04]
 [ 0.02  0.03]]","[[-0.   -0.  ]
 [-0.    0.01]]",[-0.05  0.03],[-0.92  0.8 ],[-0.04 -0.01],[-0.53  0.53],[-0.05 -0.05],[0.95 0.95],[-0.05 -0.05],[0.3  0.52],[0.03 0.05],[-0.93 -0.  ],[-0.03 -0.01],[-0.23  0.56],[0.03 0.04],[0.74 0.32],0.36664617,LPE10885_2023_10_20_4_0001
Dataset 05,2,[-0.13  0.7 ],"[[ 0.01  0.04]
 [ 0.02 -0.02]]",[0.71 0.25],"[[0.04 0.04]
 [0.05 0.04]]",[-1.    0.99],[-0.5   0.56],[1. 1.],[0.35 0.6 ],[-0.48  0.37],"[[ 0.    0.1 ]
 [ 0.05 -0.  ]]","[[-0.04  0.03]
 [ 0.1   0.  ]]","[[-0.    0.01]
 [ 0.01  0.  ]]","[[ 0.07  0.09]
 [-0.06 -0.09]]","[[-0. -0.]
 [-0.  0.]]",[0.02 0.01],[-0.98  1.  ],[-0.02  0.02],[-0.52  0.58],[-0.01  0.05],[0.99 1.05],[0.02 0.05],[0.38 0.65],[0.01 0.03],[-0.47  0.39],[0.   0.03],[-0.12  0.74],[0.02 0.02],[0.71 0.25],0.47952232,LPE10885_2023_10_20_4_0002
Dataset 05,3,[-0.21  0.58],"[[-0.02 -0.04]
 [ 0.   -0.01]]",[0.77 0.36],"[[0.03 0.04]
 [0.03 0.06]]",[-0.91  0.82],[-0.5   0.55],[1. 1.],[0.35 0.58],[-0.98 -0.06],"[[ 0.02 -0.11]
 [ 0.04  0.05]]","[[-0.06 -0.05]
 [-0.05 -0.12]]","[[-0.01  0.01]
 [ 0.    0.  ]]","[[-0.04 -0.03]
 [ 0.02  0.01]]","[[-0.   -0.  ]
 [-0.01 -0.01]]",[0.02 0.02],[-0.89  0.84],[-0.01 -0.02],[-0.5   0.53],[-0.05 -0.05],[0.95 0.95],[-0.02 -0.04],[0.33 0.55],[0.05 0.03],[-0.92 -0.03],[-0.   -0.01],[-0.21  0.57],[0.03 0.03],[0.74 0.34],0.5331556,LPE10885_2023_10_20_4_0003
Dataset 05,4,[-0.12  0.67],"[[ 0.01 -0.02]
 [ 0.05 -0.09]]",[0.7  0.28],"[[0.11 0.05]
 [0.06 0.1 ]]",[-0.99  0.96],[-0.48  0.52],[1. 1.],[0.35 0.58],[-0.46  0.27],"[[ 0.22 -0.02]
 [ 0.08 -0.11]]","[[-0.03 -0.12]
 [ 0.02 -0.26]]","[[0. 0.]
 [0. 0.]]","[[-0.13  0.02]
 [ 0.15 -0.09]]","[[ 0.   -0.  ]
 [ 0.01 -0.  ]]",[-0.05  0.05],[-1.05  1.01],[-0.05  0.05],[-0.53  0.57],[0.05 0.05],[1.05 1.05],[0.05 0.05],[0.4  0.63],[0.02 0.01],[-0.44  0.29],[0.   0.04],[-0.11  0.71],[0.05 0.01],[0.74 0.29],0.6544387,LPE10885_2023_10_20_4_0004
Dataset 05,5,[-0.14  0.6 ],"[[ 0.02  0.05]
 [-0.    0.05]]",[0.72 0.34],"[[0.06 0.08]
 [0.02 0.06]]",[-0.97  0.9 ],[-0.48  0.52],[1. 1.],[0.35 0.58],[-0.61  0.02],"[[0.08 0.04]
 [0.   0.08]]","[[ 0.08  0.2 ]
 [-0.03  0.17]]","[[-0.    0.  ]
 [ 0.02 -0.01]]","[[-0.07  0.03]
 [ 0.01  0.02]]","[[-0.    0.  ]
 [-0.01 -0.  ]]",[0.05 0.05],[-0.92  0.95],[0.01 0.04],[-0.47  0.56],[-0.01 -0.05],[0.99 0.95],[-0.03 -0.01],[0.31 0.57],[0.04 0.05],[-0.57  0.08],[0.01 0.02],[-0.13  0.62],[0.03 0.04],[0.69 0.32],0.57593644,LPE10885_2023_10_20_4_0005
Dataset 05,6,[-0.1   0.62],"[[ 0.01 -0.03]
 [-0.    0.01]]",[0.69 0.31],"[[0.04 0.03]
 [0.04 0.04]]",[-0.98  0.92],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.39  0.12],"[[ 0.1  -0.03]
 [ 0.07  0.02]]","[[-0.04 -0.07]
 [-0.05  0.08]]","[[0.01 0.  ]
 [0.   0.02]]","[[ 0.01 -0.07]
 [-0.03 -0.05]]","[[-0.    0.  ]
 [-0.01  0.  ]]",[ 0.05 -0.04],[-0.93  0.87],[0.05 0.  ],[-0.43  0.52],[ 0.05 -0.05],[1.05 0.95],[-0.03 -0.03],[0.3  0.53],[-0.01 -0.03],[-0.4  0.1],[ 0.02 -0.03],[-0.08  0.59],[0.04 0.02],[0.69 0.3 ],0.5918269,LPE10885_2023_10_20_4_0006
Dataset 05,7,[-0.19  0.66],"[[-0.01  0.01]
 [ 0.01  0.01]]",[0.75 0.3 ],"[[0.07 0.02]
 [0.03 0.01]]",[-0.99  0.94],[-0.49  0.54],[1. 1.],[0.35 0.61],[-0.81  0.18],"[[-0.04 -0.02]
 [ 0.07  0.02]]","[[-0.1   0.03]
 [ 0.01  0.04]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]","[[ 0.11  0.05]
 [-0.03  0.01]]","[[ 0.    0.  ]
 [-0.01  0.  ]]",[0.05 0.01],[-0.94  0.96],[-0.05 -0.03],[-0.54  0.51],[-0.05 -0.  ],[0.95 1.  ],[-0.05 -0.  ],[0.31 0.61],[-0.05  0.01],[-0.86  0.19],[-0.03 -0.  ],[-0.22  0.65],[0.04 0.01],[0.73 0.3 ],0.5928576,LPE10885_2023_10_20_4_0007
Dataset 05,8,[-0.2   0.59],"[[-0.02 -0.01]
 [-0.   -0.02]]",[0.76 0.31],"[[0.03 0.03]
 [0.06 0.03]]",[-0.88  0.78],[-0.49  0.54],[1. 1.],[0.35 0.59],[-0.99  0.05],"[[-0.06  0.01]
 [-0.1  -0.06]]","[[0.01 0.  ]
 [0.06 0.01]]","[[-0.   -0.01]
 [ 0.03  0.02]]","[[-0.05 -0.06]
 [-0.01 -0.07]]","[[-0.   -0.  ]
 [ 0.01 -0.01]]",[0.05 0.05],[-0.83  0.83],[-0.02  0.05],[-0.51  0.59],[-0.03 -0.05],[0.97 0.95],[-0.05 -0.02],[0.3  0.57],[ 0.03 -0.02],[-0.96  0.03],[-0.  0.],[-0.21  0.59],[0.04 0.04],[0.73 0.32],0.5216637,LPE10885_2023_10_20_4_0008
Dataset 05,9,[-0.18  0.61],"[[ 0.01 -0.07]
 [ 0.   -0.06]]",[0.75 0.31],"[[0.06 0.1 ]
 [0.02 0.08]]",[-0.94  0.86],[-0.48  0.52],[1. 1.],[0.35 0.59],[-0.84  0.09],"[[ 0.01 -0.14]
 [-0.02  0.  ]]","[[-0.07 -0.22]
 [ 0.02 -0.2 ]]","[[-0.   -0.01]
 [-0.01  0.  ]]","[[ 0.11  0.04]
 [ 0.02 -0.08]]","[[ 0.01 -0.  ]
 [ 0.01 -0.01]]",[-0.05  0.02],[-1.    0.87],[-0.05 -0.01],[-0.53  0.52],[-0.05  0.02],[0.95 1.02],[-0.   -0.01],[0.35 0.57],[-0.04  0.05],[-0.87  0.14],[-0.04  0.01],[-0.22  0.62],[0.02 0.02],[0.75 0.31],0.5464284,LPE10885_2023_10_20_4_0009
