dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.17  0.19],"[[-0.02  0.05]
 [ 0.03 -0.08]]",[0.95 0.91],"[[0.12 0.15]
 [0.02 0.09]]",[-1. -1.],[0.99 0.99],[-0.91 -0.83],[1. 1.],[-0.94  0.79],"[[-0.09  0.28]
 [ 0.07 -0.08]]","[[ 0.06  0.05]
 [ 0.05 -0.02]]","[[-0.22  0.14]
 [ 0.01  0.03]]","[[ 0.03 -0.12]
 [ 0.02 -0.23]]","[[ 0.11 -0.08]
 [ 0.01 -0.1 ]]",,
,,[-0.18  0.18],"[[-0.01 -0.08]
 [-0.04 -0.02]]",[0.96 0.92],"[[0.15 0.12]
 [0.05 0.07]]",[-1. -1.],[0.99 0.99],[-0.94 -0.87],[1. 1.],[-0.95  0.8 ],"[[ 0.24 -0.17]
 [-0.08 -0.09]]","[[-0.17  0.14]
 [ 0.05  0.05]]","[[-0.1  -0.19]
 [-0.07  0.  ]]","[[-0.1  -0.06]
 [-0.07  0.06]]","[[ 0.08 -0.13]
 [-0.03 -0.12]]",,
,,[-0.18  0.18],"[[-0.01  0.04]
 [ 0.01 -0.01]]",[0.96 0.92],"[[0.11 0.04]
 [0.08 0.09]]",[-1. -1.],[1. 1.],[-0.95 -0.88],[1. 1.],[-0.94  0.78],"[[-0.1  -0.03]
 [-0.13  0.08]]","[[ 0.09  0.03]
 [ 0.1  -0.04]]","[[ 0.16  0.06]
 [ 0.03 -0.15]]","[[-0.09  0.03]
 [-0.02  0.08]]","[[-0.12  0.11]
 [ 0.07 -0.01]]",,
,,[-0.19  0.2 ],"[[-0.04  0.05]
 [ 0.02 -0.04]]",[0.96 0.93],"[[0.1  0.06]
 [0.08 0.11]]",[-1. -1.],[0.99 0.99],[-0.94 -0.87],[1. 1.],[-0.97  0.87],"[[-0.17 -0.03]
 [ 0.11 -0.09]]","[[-0.11  0.06]
 [-0.03 -0.  ]]","[[ 0.04  0.01]
 [ 0.1  -0.22]]","[[-0.08  0.08]
 [-0.01  0.06]]","[[ 0.11  0.13]
 [-0.09  0.05]]",,
,,[-0.17  0.19],"[[0.08 0.04]
 [0.03 0.05]]",[0.95 0.91],"[[0.06 0.07]
 [0.06 0.02]]",[-1. -1.],[0.99 0.99],[-0.91 -0.84],[1. 1.],[-0.94  0.79],"[[0.07 0.05]
 [0.02 0.02]]","[[0.06 0.12]
 [0.06 0.07]]","[[ 0.19  0.1 ]
 [-0.04  0.08]]","[[-0.   -0.  ]
 [-0.03  0.05]]","[[ 0.06 -0.06]
 [ 0.13  0.03]]",,
,,[-0.18  0.18],"[[ 0.01 -0.05]
 [ 0.05 -0.02]]",[0.96 0.92],"[[0.06 0.09]
 [0.03 0.07]]",[-1. -1.],[1. 1.],[-0.95 -0.87],[1. 1.],[-0.94  0.78],"[[ 0.03 -0.14]
 [ 0.01  0.02]]","[[ 0.08  0.12]
 [ 0.11 -0.1 ]]","[[ 0.02 -0.1 ]
 [ 0.02 -0.01]]","[[ 0.03 -0.02]
 [ 0.06  0.07]]","[[-0.09 -0.1 ]
 [ 0.07 -0.09]]",,
,,[-0.17  0.17],"[[ 0.03  0.08]
 [ 0.04 -0.07]]",[0.95 0.9 ],"[[0.07 0.08]
 [0.11 0.09]]",[-1. -1.],[0.99 0.99],[-0.92 -0.85],[1. 1.],[-0.9   0.72],"[[0.1  0.08]
 [0.07 0.06]]","[[-0.05  0.06]
 [ 0.08 -0.13]]","[[ 0.05  0.09]
 [ 0.22 -0.16]]","[[-0.07 -0.05]
 [-0.08  0.01]]","[[ 0.09  0.19]
 [-0.09 -0.14]]",,
,,[-0.17  0.19],"[[ 0.01 -0.02]
 [ 0.06  0.04]]",[0.95 0.91],"[[0.06 0.06]
 [0.03 0.08]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.95  0.8 ],"[[-0.   -0.01]
 [ 0.06  0.14]]","[[ 0.05  0.  ]
 [ 0.02 -0.07]]","[[ 0.07  0.06]
 [ 0.03 -0.  ]]","[[ 0.03 -0.03]
 [ 0.1   0.11]]","[[-0.09 -0.13]
 [ 0.1   0.01]]",,
,,[-0.17  0.18],"[[ 0.   -0.01]
 [-0.03  0.06]]",[0.95 0.91],"[[0.05 0.08]
 [0.08 0.08]]",[-1. -1.],[0.99 0.99],[-0.93 -0.86],[1. 1.],[-0.92  0.74],"[[ 0.09 -0.01]
 [-0.03 -0.02]]","[[-0.08  0.06]
 [-0.12  0.19]]","[[-0.    0.01]
 [-0.03  0.01]]","[[-0.01 -0.17]
 [-0.08 -0.01]]","[[0.   0.03]
 [0.11 0.13]]",,
,,[-0.17  0.18],"[[-0.01  0.02]
 [-0.02 -0.03]]",[0.95 0.91],"[[0.1  0.07]
 [0.06 0.06]]",[-1. -1.],[0.98 0.99],[-0.92 -0.85],[1. 1.],[-0.93  0.76],"[[ 0.01  0.14]
 [-0.02 -0.  ]]","[[-0.04 -0.02]
 [ 0.04 -0.03]]","[[-0.17 -0.04]
 [-0.12 -0.11]]","[[ 0.06 -0.01]
 [ 0.04 -0.07]]","[[ 0.11  0.05]
 [-0.01  0.06]]",,
,,[-0.18  0.19],"[[-0.05 -0.01]
 [-0.06  0.05]]",[0.96 0.91],"[[0.12 0.09]
 [0.05 0.03]]",[-1. -1.],[0.99 0.99],[-0.92 -0.84],[1. 1.],[-0.95  0.81],"[[-0.28  0.02]
 [ 0.01  0.  ]]","[[ 0.03  0.09]
 [-0.08  0.11]]","[[-0.05 -0.03]
 [-0.12  0.04]]","[[ 0.01 -0.18]
 [-0.11  0.06]]","[[ 0.03  0.04]
 [-0.01  0.04]]",,
,,[-0.18  0.19],"[[ 0.02 -0.03]
 [ 0.04  0.01]]",[0.95 0.91],"[[0.04 0.07]
 [0.08 0.02]]",[-1. -1.],[0.97 0.98],[-0.92 -0.84],[1. 1.],[-0.95  0.8 ],"[[-0.    0.04]
 [-0.02  0.01]]","[[ 0.03 -0.01]
 [ 0.07 -0.  ]]","[[ 0.08 -0.14]
 [-0.07  0.04]]","[[ 0.   -0.06]
 [ 0.07 -0.01]]","[[-0.02  0.02]
 [ 0.17  0.02]]",,
,,[-0.18  0.18],"[[ 0.05 -0.02]
 [ 0.   -0.03]]",[0.96 0.92],"[[0.05 0.08]
 [0.07 0.04]]",[-1. -1.],[0.99 0.99],[-0.94 -0.86],[1. 1.],[-0.94  0.79],"[[-0.03 -0.02]
 [ 0.07  0.03]]","[[ 0.05 -0.11]
 [-0.03 -0.02]]","[[ 0.02 -0.08]
 [ 0.09 -0.08]]","[[ 0.07  0.13]
 [-0.1  -0.01]]","[[ 0.13 -0.  ]
 [-0.   -0.05]]",,
